UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
9165,L56344,L,297.6,308.6,2384,14.4,171,0,No Failure
9170,L56349,L,297.7,308.8,1896,24.5,186,0,No Failure
9192,M24051,M,297.9,309.0,1970,21.6,37,0,No Failure
9211,M24070,M,297.9,309.0,2456,13.9,82,0,No Failure
9230,M24089,M,298.1,309.0,2042,17.8,129,0,No Failure
9231,L56410,L,298.2,309.2,1922,22.6,132,0,No Failure
9235,L56414,L,298.3,309.1,1904,20.3,140,0,No Failure
9272,L56451,L,298.2,308.7,1991,20.5,36,0,No Failure
9320,L56499,L,298.5,309.4,1911,21.5,164,0,No Failure
9329,H38742,H,298.5,309.1,2051,19.0,184,0,No Failure
9333,M24192,M,298.5,309.0,1921,22.0,196,0,No Failure
9351,L56530,L,298.2,308.7,2186,17.8,31,0,No Failure
9386,M24245,M,297.5,308.1,1907,23.5,125,0,No Failure
9387,M24246,M,297.5,308.0,2033,16.7,128,0,No Failure
9392,H38805,H,297.6,308.2,2071,18.5,144,0,No Failure
9405,L56584,L,297.7,308.2,2007,19.3,181,0,No Failure
9407,M24266,M,297.7,308.1,2189,15.6,186,0,No Failure
9420,L56599,L,298.0,308.4,1911,22.0,13,0,No Failure
9445,L56624,L,298.1,308.9,2136,15.9,78,0,No Failure
9456,L56635,L,298.5,309.2,1983,20.2,114,0,No Failure
9570,M24429,M,299.8,311.0,1948,20.0,185,0,No Failure
9577,L56756,L,299.6,310.7,1922,23.3,205,1,Tool Wear Failure
9602,L56781,L,298.9,310.1,2109,18.0,61,0,No Failure
9622,M24481,M,299.0,310.0,2049,19.5,111,0,No Failure
9630,H39043,H,299.0,310.1,2053,19.7,137,0,No Failure
9678,L56857,L,299.0,310.1,2033,19.3,15,0,No Failure
9723,H39136,H,298.8,309.8,1911,21.6,126,0,No Failure
9725,M24584,M,298.8,309.7,2098,19.0,133,0,No Failure
9733,L56912,L,298.9,310.0,2231,17.4,151,0,No Failure
9759,L56938,L,298.6,309.8,2271,16.2,218,1,Tool Wear Failure
9763,L56942,L,298.6,309.7,1925,22.1,7,0,No Failure
9803,H39216,H,298.4,309.3,1984,19.2,132,0,No Failure
9833,L57012,L,298.4,309.2,2118,17.7,210,0,No Failure
9850,L57029,L,298.6,309.4,2312,15.5,44,0,No Failure
9866,M24725,M,298.9,309.8,2450,13.9,89,0,No Failure
9872,M24731,M,298.9,309.8,1947,21.7,105,0,No Failure
9887,L57066,L,298.8,309.6,1903,22.3,145,0,No Failure
9927,M24786,M,298.5,308.6,1897,20.2,50,0,No Failure
9940,H39353,H,298.3,308.1,2636,12.8,84,0,No Failure
9975,L57154,L,298.6,308.2,1361,68.2,172,1,Power Failure
